Annotation order,id,Position,Company Name,Primary Keyword,charc_len,Long Description
11,13196cfb-1601-5ae0-80d9-541605348acb,Analyst BPM-system,PrivatBank,Data Analyst,2167,"Who Are You?
You're someone who wants to influence your own development. You're looking for an opportunity where you can pursue your interests and your passion. Where a job title is not considered the final definition of who you are, but merely the starting point for your future.

We're looking for Analyst BPM-system who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them-friends, family and passions. Together, we can make it happen.

Your Key Responsibilities:

• Development of processes based on Node-RED 
• Support of implemented processes and interfaces of the Direction
• Creation and support of escalation processes. 
• Preparation of accompanying technical documentation, keeping it up-to-date
• Preparation of technical tasks for the development or refinement of services of the IT department and within the limits of other assigned tasks

Your Skills and Experience:

• Work experience in the field of at least six months. 
• Knowledge of the basics of programming, the principles of building block diagrams, the principles of working with DBMS. 
• Knowledge of the basics of working with BPM systems (Node-RED - mandatory, others - will be an advantage).
• Knowledge of JavaScript and SQL (at a basic level).
• Understanding of the principles of operation of АРI, http / https protocols. 
• Knowledge of stack technologies (Redis, Postgres, Rabbit, MongoDB, etc.). 
•Knowledge of types of testing, their differences.
What we are offer?
    • Competitive Salary and Benefits depending on experience and skills;
    • Opportunity for rapid growth in the company;
    • Work in enterprise-level projects long-term with strong team;
    • Medical insurance and corporate mobile communications;
    • Access to big electronic library with modern courses and a lot of interesting books.

PrivatBank provides equal opportunities to all candidates and welcomes diversity in its team.

We are convinced that diversity and inclusion help to achieve ambitious results in business and create a dream future for our compatriots every day."
12,14d74ca7-1e07-5dbc-a20d-b909006f25ec,Full-stack Developer (Python 80% and FE( React or Backbone or similar) 20%),Nearshorefriends GmbH,Python,1954,"MUST HAVE:

3+ years of recent production quality Python product development experience
1+ years production level experience with reactive-style frontend development (React, Backbone.js or similar) targeting evergreen browsers
 Practical experience with consuming and designing REST APIs (Swagger/OpenAPI)
 Ability to work in a small self-motivated team
Good written and spoken English, comfortable with working in an international environment
NICE TO HAVE:

Experience working with PayPal APIs (Orders & Payments REST APIs, Legacy Express Checkout NVP API) and frontend integration (PayPal Checkout & Smart Button) or alternative payment processors
Experience with web analytics and remarketing (Universal GA, GTM, gtag.js,...)
Familiarity with Google Ads and conversion tracking
Familiarity with serverless computing (AWS Lambda, Cloudflare Workers or else)
Familiarity with Docker and containerization
Familiarity with e-commerce platforms (Magento, Shopify, or BigCommerce)
Ability to take user perspective thinking about UX and UI improvements

RESPONSIBILITIES:
Developing and extending hosted checkout solution with order and payment processing
Integrating Glopal solution with store backends (Shopify, BigCommerce, Magento)
getting data in and out using platform provided APIs and extensions
Synchronizing data with other internal systems enabling cross-team solutions
 Providing tools for new merchant onboarding process and self-service
 Opportunity to work with different technologies providing value for merchants and international buyers and supporting internal processes, cross-domain and cross-stack
 Collaborate and influence stakeholders and other teams enabling business growth
Join small experienced team responsible for wide range of projects and micro services
Working with AWS services (Lambda, API Gateway, AppSync, CloudFront and others) as supported by a dedicated DevOps team and GitLab CI/CD pipelines"
13,1950b147-a527-5298-9150-259848f71c4f,Senior Python Developer (with DevOps),YozmaTech,Python,1523,"We are seeking a Back end Software Engineer to execute the full lifecycle of the product development, by programming well-designed, efficient, and testable code that meets specifications.

Job Responsibilities:

🔵Building and designing a robust REST API.
🔵Implementing a service-oriented architecture on the cloud.
🔵Maintaining high availability at scale.
🔵Modeling our SQL and NoSQL schemas.
🔵Developing integrations with many 3rd party services.
🔵Working both as a team and with our DevOps and Frontend developers.

Requirements:

🟡3+ years in Python back-end development.
🟡Positive attitude and fun to work with.
🟡Strong technological skills and ability to simplify complex problems.
🟡Loves learning new things and technologies (and is a fast learner).
🟡Excellent verbal and written communication skills.
🟡Proficiency in backend development, ideally with Django, and FastAPI.
🟡Prior experience in building and maintaining a large-scale SaaS product.
🟡Experience working with DevOps technologies and practices, such as CI/CD pipelines, containerization with Docker, and cloud infrastructure platforms like AWS, Azure, or Google Cloud Platform.
🟡Familiarity with DevOps tools such as Ansible, Chef, Puppet, or Terraform to automate infrastructure provisioning and deployment processes.
🟡Experience with monitoring and logging tools like Prometheus, Grafana, or ELK stack is highly desirable.
🟡Collaboration skills with DevOps team members to streamline software development and deployment processes."
14,1a2e2045-e8c8-5808-8f46-6e92085ea52d,Data Developer,Unit Space,Data Engineer,3219,"We are looking for a Data developer to join the growing team. This is an exciting project that will involve challenging problem solving and collaboration in designing a data-centric blockchain product. As a member of the Data team, you will work on our data platform's every aspect, and deploy and follow components from dev to production. You will participate in Ultra's data governance strategy. You will help us gather and process relevant data to drive all your stakeholders' decisions.

World-wide Blockchain start-up aiming to compete STEAM in the game monetization business.

You will have a chance to work with ex-CTO of DELL; Ex-Strategy Officer of Apple and Google and few more executives from a great world-class companies.

Project is Innovative PC games distribution platform, combined with a full gaming app ecosystem. Platform offers a highly integrative user experience and new business models for developers, gamers and influencers. The goal is to unify the fragmented gaming industry around one platform.

The combination of cutting-edge technologies we use (including blockchain) enables platform to aggregate all gamers’ activities in one place: from buying, playing and reselling games, to accessing live-streaming platforms, tournaments, reviews and contests, as well as interacting with communities and brands.

Team is currently composed of 70+ full-time members, working across 5 continents.

**Requirments**

● 3+ years of data engineering experience
● Professional experience with Scala
●Previous experience with one of our tools: Apache Beam (or another streaming data processing tool), MOM (Kafka, RabitMQ, Pulsar)
● Experience in SQL
● Teamwork mindset, and great communication skills
● Previous experience in collaboration/sync with several teams
Upper-Intermediate in English

**Responsibilities**

● Your challenges
Project could be considered as a multitude of smaller sub-projects, each having its own team leader. Your ability to provide insightful data and reporting will help define business and development strategy.
You will work with staff and entities all around the world, and collaborating with them remotely will be part of your daily routine.

● With us, you will:
Participate to the construction from the ground-up of a data centric company
Be an impact player to the architecture and technologies
Discover the exciting challenges of data over blockchain
Work with passionate engineers, product managers, testers... in a multicultural environment

**Process:**

If your application is selected, you will enter our recruitment process:
Meet a Recruiter
Meet Romain, Data Team Lead, and Hugo, Head of Engineering
Meet the Data team

**Will be a plus**

● Previous experience operating an application in production
Python
● Previous experience working with data scientists
● Previous experience with a cloud provider
● Knowledge of French language
● Agile / scrum methodology experience

**We offer**
● Competitive salary;
● Flexible working hours;
● 15 Vacation days per year;
● 5 Sick days;
● 4 Day offs (family reasons);
● The working environment of young, friendly people;
● Possibility of learning and development"
15,1b35d374-7efb-542c-86aa-8af039f4b10b,Marketing Data Analyst,Viseven,Data Analyst,2577,"**Key responsibilities:**
Analyze omnichannel digital campaigns and create reports with suggestions for improvements
Constant work on finding insights in client projects marketing data
Develop best approach and methods for digital campaign analysis
Provide learning and experience sharing with the colleagues in the team
Design of A/B-tests from the standpoint of Statistics and Probability Theory
Participate in developing a holistic approach for KPIs tracking
Participate in creating dashboards and data marts on client projects
The gradual development of more advanced solutions using Data Science and Machine Learning (personalization, recommendations, etc.)
Conduct marketing desk research on internal requests

**Required skills & knowledge:**
3+ of relevant experience in marketing data analysis, data visualization, and reporting
Preferred experience with digital campaigns analysis on different markets
Experience in Advanced Excel (Pivot tables, Lookups, Power Query, etc.)
Medium SQL knowledge (select, join, subquery)
Good knowledge of Mathematics, Statistics, and Probability Theory
Understanding and experience in A/B testing process
Decent experience in one of the BI platforms (Power BI, Tableau, Qlik Sense, etc.)
Understanding of core principles of digital marketing & communication channels
General understanding of Data Science and Machine Learning
Analytical mindset and passions about data and finding insights into it
Proactive and open-minded, with the ability to constantly learn and develop
Intermediate or higher English level

**What we provide:**
We understand that our team members are essential to making our goals a reality, so we value and empower them to share their vision. And we reward this kind of passion with highly competitive compensation and exceptional benefits, such as:
Competitive compensation and regular performance-based salary and career development reviews
Passionate experienced team, friendly atmosphere
Professional and career growth
Paid time off — 18 business days per year (20 business days after 2 years of cooperation)
Non-documented sick leave — 4 business days per year
Documented sick leave — 20 business days per year
Family leave — 3 paid business days in case of marriage, childbirth, or bereavement
Comprehensive medical insurance
English learning courses
Opportunities to participate in professional forums and conferences
Regular corporate events and team-buildings
Enjoyable working environment: comfortable and fully equipped office and a possibility to work from home"
16,1bfb3a6c-9766-53ba-a635-a5c0b130aa9d,Middle Python Engineer,GoIT,Python,2807,"**Poland only!**

Looking for an exciting new opportunity in Python development? Join our team and become a part of our supportive and spirited family! We pride ourselves on breaking down barriers and finding innovative solutions to complex problems, and our diverse range of projects spanning industries from commercial aviation to fintech will keep you engaged and challenged. We offer ample opportunities for career advancement, skill development, mentorship, and learning from experienced colleagues. 

**About the project:**
Our client offers machine learning, AI, and natural language processing solutions that provide actionable insights to businesses. Their SolaaS (Solution as a Service) solutions are deployed on Azure and transform companies into data-driven digital enterprises.

**Your future team:** 3 ppl are in the US (EST) and 5 ppl are in Europe (our technical team).

**Requirements:**
- 3+ years of product development experience.
- Cloud platform experience (Azure, AWS).
- Python experience, including knowledge of a web framework (Django, Flask).
- Kubernetes experience.
- Understanding of accessibility and security compliance.
- Knowledge of user authentication and authorization across systems.
- Strong unit testing and debugging skills.
- Proficiency with code versioning tools.

**Key responsibilities:**
- Develop, maintain, and enhance cloud-based solutions for consumer goods and retail.
- Implement and test business functionality, integration, and microservices architecture.
- Ensure high performance, responsiveness, and security of solutions.
- Incorporate configurability and scalability across multiple clients.
- Package solutions into containers for deployment in client-managed cloud environments.
- Collaborate with DevOps for Azure deployment under Kubernetes.
- Develop reusable, efficient code with thorough testing.
- Create documentation for code modules.
- Participate in SDLC activities, including estimation, reporting, meetings, and reviews.

**Benefits you'll get:**
- You’ll work in a supportive and spirited team of professionals.
- Corporate events, holidays, and team buildings for your joy.
- Training and development: we have a huge library (about 500 books!) and a budget for your professional development.
- Сoverage of sports activities.
- Сoverage of psychologist sessions.
- People-oriented management without bureaucracy.
- Paid vacation and sick leaves.

We're excited to welcome a talented and passionate Python developer to our team. Join us in our mission to create innovative solutions and make a positive impact in various industries. We can't wait to see the amazing things we'll accomplish together. 
**So please don't hesitate to text me and I'll send you a more detailed job description :)**"
17,1ed116ba-a0d3-5bd4-8e0a-7ed51a72e35c,Strong Middle Python Developer,Voypost,Python,1490,"We are looking for an experienced Strong Middle Python developer for the full-time project!

- 3+ years of experience with Python
- Experience with Django, Plotly Dash, Django, Flask, FastAPI, and Pyramid.
- Experience with PostgreSQL, and MySQL.
- level of English: upper-Intermediate and above.

Will be +:
- Protecting API endpoints and apps using modern auth flows with OAuth2
- Experience analyzing user requirements and data in order to design algorithms, tools, and solutions
- Energy market domain knowledge and expertise in machine learning and optimization experience are a plus

Role on the project:
Design and implement robust, integrated, cloud-based web software solutions (backend and frontend components) with a focus on innovative technologies to accelerate trading and analytics capability based on Algo-trading DevOps standards. The scope of work encompasses the following solutions – MCO HU tool, MCO Nordic tool, Cost Calculation API, and Exchange APIs.

This project provides full-time employment (40 hours a week) long-term.
Work time zone - CET.

Stages of employment:
1. HR interview - up to 30 minutes.
2. Interview with the product owner - up to 1 hour.

We provide a wide range of IT services, from MVP development to Staff Augmentation for our clients and Enterprise-level product development. Therefore, even if this project does not suit you for specific reasons, you can still apply and we will match you with the most relevant project."
18,2032982c-74ee-5ed4-856d-713e4782d81c,Middle Python Backend Developer,Gargoyle Gargoyle,Python,929,"We are looking for a Middle Python Developer
- Fully remote
- Full-time
- 2+ years of experience
- English: Intermediate+

Gargoyle Group specializes in the development of custom artificial intelligence solutions for businesses.

Key requirements:

- Strong knowledge of Python (Asyncio);
- Experience with relational databases with (PostgreSQL, MySQL, MongoDB);
- Competency with AWS, Cloud platforms;
- Experience in integrating third-party API;
- Competency with FastAPI, Django, Flask;
- Experience in scraping (Selenium, Scrapy);
- Experience in Celery, Redis/RabbitMQ;
- Awareness of Docker-based release management process

Obligations:

- scraping and parsing data from websites;
- create, test and deploy backend microservices;
- maintenance of existing services and adding new features;
- writing tests;
- contribute to best practices improving code style;
- Help improve development processes"
19,20b8d737-ce1b-51c9-982f-cb864648dc10,Business Data Analyst,PayOp,Data Analyst,1760,"**Responsibilities:**
Build automated dashboards and reports to provide company-wide awareness and insight into key metrics using various BI and analytical tools
Perform ad-hoc analytical requests to transform data into information
Identify and define business needs and goals
Design data models for entities and paired relationships

**Qualifications: **
Master’s degree in Economics, Mathematics, Computer science, or a similar field
English proficiency level Upper-Intermediate

**Desired Skills: **
Experience with BI tools (Power BI, Tableau, Looker etc.)
Full proficiency in SQL (data modeling, queries, analytical/window functions)
Familiarity with data warehouse and ETL pipelines principles
Advanced level of proficiency in MS Excel or/and Google sheets
Data mining and data analytics techniques
Experience translating business needs/requirements into technical specifications (collecting, presenting, estimating, prioritizing, etc.)
Communication and negotiation skills to establish and maintain good working relationships with external organizations and internal customers
Excellent time-management skills, ability to learn quickly and handle multi-tasking activities
Knowledge of requirements management tools: Jira and Confluence

**We offer:**
Experienced team ready to share knowledge and fully given training
Continuous learning opportunities, exposure to leaders in Fintech and a mentor to support and help you expand your skills
Friendly atmosphere with a lack of bureaucracy
Paid holidays and sick leaves
Competitive salary and bonuses (subject to probations completed)
Great career development opportunities in an established FinTech company
Opportunity to visit exciting events and offices through Europe and UK"
20,20dd6d4e-8c76-5fe7-9aa4-24e86e7b7256,Research Data Engineer,Yalantis,Data Engineer,2335,"During our twelve-year journey, we help our clients to create applications and enterprise ecosystems from scratch in order to achieve their business goals.

Currently, we are looking for a research data engineer with experience in building and maintaining efficient scientific data pipelines.

Our client is a New York-based healthcare organization that owns and operates a chain of academic medical centers offering emergency and virtual urgent care services.

This is a hands-on development role responsible for design, implementation, and lifecycle management of the products built/configured for the research community and used across the client’s Health system.

Responsibilities:

Work cross-functionally as a strategic partner to define priorities and develop project roadmaps in synergy with partner teams. Build consensus and earn commitment from partners. Drive execution through fast iteration.
Ensure coordination of their and others’ projects across related workflows, to maximise impact and avoid duplication and overlaps.
Employ languages and tools like Python, R, SQL, and others to drive efficient data exploration and modelling.
Generalise methodologies for broader applications within and outside their domain.
Research, patterns identification and formulating insights;
These will help you do the job:

Experience of work with scientific data pipelines, their creation and maintenance
Good knowledge of Python programming language;
Experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards
Experience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysis
Can effectively set and communicate priorities;
Experience initiating and driving projects to completion with minimal guidance
What you’ll get from working with us:

Great compensation and social packages
Full financial and legal support for private entrepreneurs
Opportunities for professional growth
Individual development plan and a mentor to guide you
Team buildings and corporate activities
We do not invite you to one project, but to a permanent job in our company. We expect our future colleague to have passion for solving challenging problems and effectively cooperate with the team."
21,21ef50a8-5e24-5366-8162-a2eb8e84963d,Python Developer,Quardex,Python,578,"What we’re looking for:
- At least 1 year of experience with Python
- Strong knowledge of Python 3.x
- Experience in working with Webscraping, asyncio 
- Good understanding of HTTP requests
-  Strong written and spoken English communication

We offer:
- Comfortable office in the center
- You are free to build a process you feel comfortable with
- Flexible working hours
- Competitive salary level
- Work in creative friendly environment
- You will have a lot of opportunities to make your own decisions
- Minimal hierarchy
- 24 work days vacation and sick leave"
